Phase,Batch_Size,Fluid_Upper_Bound_Reward,t_cont_lp_ms,K_Geo_Heuristic,K_DP_Heuristic,K_Theo,Geo_Heuristic_t_search_ms,DP_Heuristic_t_search_ms,Geo_K32_Loss_abs,Geo_K32_Loss_pct,Geo_K32_GIR,Geo_K32_Accepted,Geo_K32_t_spacing_ms,Geo_K32_t_lp_ms,Geo_K64_Loss_abs,Geo_K64_Loss_pct,Geo_K64_GIR,Geo_K64_Accepted,Geo_K64_t_spacing_ms,Geo_K64_t_lp_ms,Geo_K128_Loss_abs,Geo_K128_Loss_pct,Geo_K128_GIR,Geo_K128_Accepted,Geo_K128_t_spacing_ms,Geo_K128_t_lp_ms,DP_K32_Loss_abs,DP_K32_Loss_pct,DP_K32_GIR,DP_K32_Accepted,DP_K32_t_spacing_ms,DP_K32_t_lp_ms,DP_K64_Loss_abs,DP_K64_Loss_pct,DP_K64_GIR,DP_K64_Accepted,DP_K64_t_spacing_ms,DP_K64_t_lp_ms,DP_K128_Loss_abs,DP_K128_Loss_pct,DP_K128_GIR,DP_K128_Accepted,DP_K128_t_spacing_ms,DP_K128_t_lp_ms,DP_Theo_Loss_abs,DP_Theo_Loss_pct,DP_Theo_GIR,DP_Theo_Accepted,DP_Theo_t_spacing_ms,DP_Theo_t_lp_ms,Geo_Heuristic_Loss_abs,Geo_Heuristic_Loss_pct,Geo_Heuristic_GIR,Geo_Heuristic_Accepted,Geo_Heuristic_t_spacing_ms,Geo_Heuristic_t_lp_ms,DP_Heuristic_Loss_abs,DP_Heuristic_Loss_pct,DP_Heuristic_GIR,DP_Heuristic_Accepted,DP_Heuristic_t_spacing_ms,DP_Heuristic_t_lp_ms
1,50,319.04455384386796,2.6801659842021763,4,9,12,3.501611005049199,30.326890002470464,47.1300690094252,14.77225310433897,1,48,0.3615040041040629,2.078221004921943,30.211890628390734,9.469489531915233,0,49,0.35898800706490874,2.022300992393866,13.262490865128541,4.156940059104992,0,49,0.889405986526981,2.3189839848782867,95.11299201820259,29.811821224426353,1,48,24.250499001936987,1.8630459962878376,94.84694275877598,29.72843184942489,0,49,0.16263200086541474,1.7374399758409709,94.84694275877598,29.72843184942489,0,49,0.1043250085785985,1.8651589925866574,109.52742045983831,34.329819813642125,10,39,10.37274400005117,1.9929840054828674,206.60441490435318,64.75722980228647,8,42,0.33990899100899696,1.7517739906907082,115.65830635370119,36.251459227322,10,39,9.288795990869403,2.6753260171972215
2,100,1086.5672795325113,1.8203569925390184,16,5,12,4.788173013366759,7.4226700235158205,480.3404585882033,44.20715289667721,1,99,0.3657500201370567,1.6332179948221892,410.18901853037823,37.75090841193556,1,99,0.36117900162935257,2.0794369920622557,373.1036461326628,34.33783191899431,1,99,0.38743100594729185,1.809795998269692,425.4498662853442,39.15540936115722,2,98,20.75804301421158,1.738756982376799,424.9196242113503,39.10660961502258,1,99,0.12079000589437783,1.614890992641449,424.9196242113503,39.10660961502258,1,99,0.11061099939979613,1.830483990488574,448.908288345869,41.314357316098175,6,94,13.687619008123875,1.9553479796741158,610.4865959026106,56.18488679000794,3,97,0.5016229988541454,1.9257240055594593,556.4950989445103,51.215889657927015,15,85,7.9645049991086125,2.0652899984270334
3,200,4228.188829833289,3.289509011665359,8,11,14,3.0004949949216098,69.84984999871813,2680.148213428815,63.38761870137406,2,196,0.35296002170071006,1.9368490029592067,2505.06754102964,59.24682273777283,2,196,0.37018299917690456,1.870061008958146,2426.129715498003,57.379880916852564,2,197,0.3545299987308681,2.291210985276848,2806.464553002703,66.37509974012579,7,191,62.397253001108766,2.559243992436677,2796.6511984009985,66.14300616539083,4,195,121.89236300764605,1.8732080061454326,2796.171450515555,66.1316597495908,2,197,0.14146100147627294,1.8768160080071539,2872.4626896860727,67.93600771608229,20,178,27.016503008781,1.8482200102880597,3218.684950919579,76.1244372107782,13,185,0.32060901867225766,1.5816520026419312,2934.891754520872,69.412504328398,34,163,19.467295001959428,1.6874659922905266
4,400,2584.091795426241,3.321008989587426,4,2,16,2.488102007191628,16.583754011662677,502.927444182028,19.462444990235774,5,394,0.39498499245382845,3.1314950028900057,280.496604112946,10.854746128191572,4,394,0.4511580045800656,4.029973002616316,148.80514321151531,5.758508404186554,2,396,0.4087669949512929,2.8912340058013797,419.65094768703193,16.239784841614398,36,362,150.31927998643368,3.021693992195651,361.4626441740297,13.987995504409206,10,388,451.0729879839346,2.8647190192714334,353.5928729272723,13.683448612511379,4,394,352.7889729884919,2.789297985145822,644.1086373815288,24.925919370263095,72,326,52.040966984350234,2.2630160092376173,1855.998449200464,71.82401385606816,61,337,0.3033480024896562,2.697642019484192,2582.110487078583,99.9233267041378,152,246,7.072852982673794,2.0207130000926554
5,800,7171.269900140589,3.001663979375735,11,14,19,3.062087984289974,344.6408539894037,1986.5894075380056,27.70205884314938,6,779,0.4189159953966737,3.026547987246886,1412.709527191325,19.699572695815416,4,780,0.30791800236329436,3.007716004503891,1104.48752426803,15.401561224831003,3,782,0.35525401472114027,3.3164980122819543,1524.6309450391973,21.260264447853338,38,739,246.694188012043,4.392881994135678,1331.839713538946,18.571881020861255,16,765,488.64657699596137,2.8814410034101456,1280.8151852527344,17.86036787191101,2,782,901.1698800022714,3.666371980216354,1786.5657461488936,24.91282256875967,98,679,151.6190340043977,3.3287890255451202,3615.463305015692,50.41594243921587,27,758,0.3355870139785111,3.223512991098687,2136.0370673899533,29.786036464030975,147,630,109.26178097724915,3.045460005523637
6,1600,13207.104990209213,4.670188995078206,6,3,21,1.6513089940417558,66.27243201364763,2879.6411210054157,21.80372703283704,19,1578,0.44116302160546184,3.979027009336278,1747.2856062661776,13.229891089390811,10,1590,0.4293690144550055,3.6413409980013967,1068.9281553379042,8.09358414376451,6,1594,0.4409870016388595,3.522782993968576,2036.9035289370404,15.42278592051061,179,1417,578.6097859963775,3.694282000651583,1457.1844372202358,11.033337270359299,67,1531,1129.4472549925558,4.146907012909651,1243.4658834918228,9.415128329892418,20,1579,2134.843767998973,4.641520994482562,2710.699257400189,20.524552953957013,237,1358,452.48153200373054,3.8618580147158355,8382.919036414969,63.47279772992987,148,1446,0.377759977709502,3.6284149973653257,10139.402646877064,76.77233318273521,740,854,59.51015098253265,5.36909801303409
7,3200,35213.481637352685,9.248143993318081,15,28,24,5.074849002994597,6947.005638008704,10216.0504858428,29.011759163871286,50,3143,0.5847340216860175,8.07575398357585,6894.286409241067,19.578542332854575,29,3169,0.6187459803186357,6.857450003735721,4844.539691632028,13.75762766523258,14,3184,0.6836440006736666,7.3613509885035455,7220.029713280921,20.503595150393416,370,2825,1535.2009120106231,8.471904002362862,5816.903736996199,16.518967925131044,193,3003,3037.928722013021,7.880178018240258,5206.426470296246,14.785321496791534,62,3134,6020.795154006919,11.052680987631902,8232.7590992933,23.379565769947625,391,2805,1332.0794900064357,8.150569017743692,16427.569443533554,46.65136385181526,118,3077,0.5157270061317831,6.861353991553187,7795.641221361217,22.138229050012466,389,2807,1329.2461459932383,8.486633014399558
8,6400,67626.82623826852,19.382596015930176,11,17,28,4.063383006723598,7669.206880993443,14984.20267544681,22.157187478609757,81,6290,1.0601020185276866,24.653758999193087,7879.202130841644,11.65100089582938,44,6325,0.9573480056133121,22.102734015788883,3890.7539744727255,5.7532701013714505,22,6348,0.9869560017250478,21.658740006387234,10056.688154471762,14.870856306400054,753,5620,4689.7804779873695,28.03451201179996,6383.053203210235,9.438640785419866,364,6012,9498.09123101295,30.227111972635612,4606.992753673054,6.812374629915811,165,6211,18399.050539999735,26.52697399025783,11467.595046094328,16.95716875088997,940,5434,4057.068773021456,28.762894013198093,33924.0288817704,50.16356787504179,277,6098,0.7171839824877679,925.6002370093483,17889.459257183247,26.45319949535056,1596,4775,2456.9464410014916,26.43108001211658
9,12800,162318.40794288518,38.926193985389546,19,32,32,9.674038010416552,77743.91925899545,54698.17515173741,33.698072723202166,172,12586,1.944008021382615,56.784432992571965,38985.947193281085,24.018192198508398,92,12656,1.6582999960519373,43.67142298724502,29733.377539728477,18.317933200891627,54,12692,1.6503549995832145,41.7838380089961,40334.83890930464,24.849208059936874,1787,10964,19895.320672017988,47.24055601400323,32056.11745901378,19.7489107152242,876,11877,48707.16407598229,46.483437006827444,27987.56286573579,17.242383793946367,388,12366,90493.25776199112,47.49252399778925,40334.83890930464,24.849208059936874,1787,10964,19964.599667990115,43.124438991071656,72986.83785857112,44.96522531458842,295,12465,1.515466981800273,3295.989167992957,40334.83890930464,24.849208059936874,1787,10964,19996.05690399767,44.22004698426463
10,1192,10364.52205759281,3.733063000254333,9,22,37,5.965685995761305,146442.60421500076,2507.189869980175,24.190115627603546,14,1157,0.6154370203148574,5.012469016946852,1352.3232629678878,13.047618167566219,6,1162,0.7889939879532903,4.663647006964311,758.9492852387557,7.3225690583847705,3,1165,0.5734589940402657,4.635649005649611,1531.2235938235208,14.773701916161022,207,960,87143.71923098224,4.793703003088012,802.3681235352215,7.741486959810414,112,1055,177019.57550700172,4.846680996706709,356.210342652088,3.436823624598652,54,1113,430904.8848889943,4.987420019460842,1375.4413331884916,13.270668203951333,179,988,121870.2566419961,5.822478007758036,6048.261278853489,58.35542869458868,61,1112,0.5437729996629059,4.778305999934673,2316.1051473155676,22.346473232876594,389,779,66865.25776400231,4.863417998421937
